L 197.2163, -785.7593, 13.4627,  199.3248, -784.4537, 13.5399,  0, 0, 0
L 195.7435, -786.4837, 13.4195,  197.2163, -785.7593, 13.4627,  0, 0, 0
L 194.5479, -787.7200, 13.3870,  195.7435, -786.4837, 13.4195,  0, 0, 0
L 195.3627, -789.3551, 13.3780,  194.5479, -787.7200, 13.3870,  0, 0, 0
L 196.2444, -790.6003, 13.3762,  195.3627, -789.3551, 13.3780,  0, 0, 0
L 197.1945, -791.7935, 13.3746,  196.2444, -790.6003, 13.3762,  0, 0, 0
L 198.3858, -793.1514, 13.3455,  197.1945, -791.7935, 13.3746,  0, 0, 0
L 199.7464, -794.3519, 13.2585,  198.3858, -793.1514, 13.3455,  0, 0, 0
L 199.8843, -796.1151, 13.3426,  199.7464, -794.3519, 13.2585,  0, 0, 0
L 198.2191, -796.8364, 13.3031,  199.8843, -796.1151, 13.3426,  0, 0, 0
L 196.5241, -797.4999, 13.2644,  198.2191, -796.8364, 13.3031,  0, 0, 0
L 194.9472, -798.2853, 13.2188,  196.5241, -797.4999, 13.2644,  0, 0, 0
L 193.5706, -799.5388, 13.1523,  194.9472, -798.2853, 13.2188,  0, 0, 0
L 194.4515, -801.3160, 13.8478,  193.5706, -799.5388, 13.1523,  0, 0, 0
L 195.8899, -802.0796, 13.1262,  194.4515, -801.3160, 13.8478,  0, 0, 0
L 197.5403, -801.8700, 13.1862,  195.8899, -802.0796, 13.1262,  0, 0, 0
L 198.2157, -800.2564, 14.0754,  197.5403, -801.8700, 13.1862,  0, 0, 0
L 198.8313, -798.6793, 13.3016,  198.2157, -800.2564, 14.0754,  0, 0, 0
L 200.8073, -798.4714, 13.3384,  198.8313, -798.6793, 13.3016,  0, 0, 0
L 202.6726, -798.7292, 13.3668,  200.8073, -798.4714, 13.3384,  0, 0, 0
L 204.3359, -799.5964, 13.3769,  202.6726, -798.7292, 13.3668,  0, 0, 0
L 206.2190, -800.1570, 13.3828,  204.3359, -799.5964, 13.3769,  0, 0, 0
L 206.7391, -802.0623, 13.3121,  206.2190, -800.1570, 13.3828,  0, 0, 0
